Name;ERD;OSB
700C  FiR EL20;614;0
700C  FiR EL45;614;0
700C  FiR ES35;614;0
700C  FiR EU90;614;0
700C  FiR MT 232;606;0
700C  FiR Net97;585;0
700C  FiR Net97;591;0
700C  FiR Net97;585;0
700C  FiR SC150 actual weight 380gms!;614;0
700C  FiR SC170;605;0
700C  FiR SC200;600;0
700C  FiR SC350;582;0
700C  FiR SRG30 (30mm deep aero rim, 500gms);582;0
700C  IRD Cadence;604;0
700C  IRD Cadence VSR (virtual symmetry rim);604;1.5
700C  IRD Cadence Aero (30 mm deep);576;0
700C  IRD Clyde 24 mm wide;607;0
700C  Matrix Aurora;610;0
700C  Matrix Aurora OSB (offset spoke bed);606;2
700C  Matrix ISO C;597;0
700C  Matrix ISO CII;601;0
700C  Matrix PN 970704 ISO 3;603.9;1.5
700C  Matrix PN 970704 ISO 3;603.9;1.5
700C  Matrix PN 970704 ISO 3;603.9;1.5
700C  Matrix PN 970704 ISO 3;595;0
700C  Matrix PN 970704 ISO 3;595;0
700C  Matrix PN 970704 ISO 3;595;0
700C  Matrix Titan;611;0
700C  Matrix Titan S;611;0
700C  Matrix Titan T (touring);614;0
700C  Matrix Titan-II;611;0
700C  Mavic 192 ;611;0
700C  Mavic 195;605;0
700C  Mavic A 119;604;0
700C  Mavic A 317 Disc;602.5;0
700C  Mavic A 319 D;604.5;0
700C  Mavic A 319 D 05;602.5;0
700C  Mavic A 719;600.5;0
700C  Mavic CXP10 ;601;0
700C  Mavic CXP10 ;600;0
700C  Mavic CXP11 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);601.5;0
700C  Mavic CXP12 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);597;0
700C  Mavic CXP14 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);587;0
700C  Mavic CXP21 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);601.5;0
700C  Mavic CXP22N;598.5;0
700C  Mavic CXP22S;599.5;0
700C  Mavic CXP23 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);598;0
700C  Mavic CXP30 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);587;0
700C  Mavic CXP33 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);598;0
700C  Mavic E2;614;0
700C  Mavic G40;614;0
700C  Mavic MA;612.5;0
700C  Mavic MA2 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);613;0
700C  Mavic MA3;607.5;0
700C  Mavic MA3;607;0
700C  Mavic MA40 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);613;0
700C  Mavic Mod 3;611;0
700C  Mavic Mod 3D Argent;613;0
700C  Mavic Mod 4;611;0
700C  Mavic Mod 50;613;0
700C  Mavic Mod E;614;0
700C  Mavic Open 20 ;602;0
700C  Mavic Open 20 ;601;0
700C  Mavic Open 20D ;603;0
700C  Mavic Open 20D ;602;0
700C  Mavic Open 4CD;608;0
700C  Mavic Open Pro (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);605;0
700C  Mavic Open SUP (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);607;0
700C  Mavic Reflex (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);605;0
700C  Mavic T138 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);603;0
700C  Mavic T215 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);609;0
700C  Mavic T217 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);603;0
700C  Mavic T221 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);605.5;0
700C  Mavic T223 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);603;0
700C  Mavic T224;604.5;0
700C  Mavic T238 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);606.5;0
700C  Mavic T261 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);611;0
700C  Mavic T519;601.5;0
700C  Mavic T520;600.5;0
700C  Nashbar UC13;613;0
700C  Nisi Mixer;612;0
700C  NOTUBES ZTR 355 29'er;604;0
700C  NOTUBES ZTR Olympic 29'er;417;0
700C  Performance C19 ;610;0
700C  Performance C19SL ;612;0
700C  Rigida 1320 ;610;0
700C  Rigida ARIES (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);605;0
700C  Rigida AS 23 X (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);613.7;0
700C  Rigida AS 26 F (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);612;0
700C  Rigida CHP-6;602;0
700C  Rigida CHRINA (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);608;0
700C  Rigida DP 18 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);581;0
700C  Rigida DP 2000 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);584.34;0
700C  Rigida DP 25 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);595.6;0
700C  Rigida DPX (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);592.4;0
700C  Rigida EXCEL (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);608;0
700C  Rigida HLC2000 ;606;0
700C  Rigida LIBRA (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);610.7;0
700C  Rigida M 19 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);612.5;0
700C  Rigida M 21 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);612.5;0
700C  Rigida NOVA (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);600.8;0
700C  Rigida OLYMPUS (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);592.4;0
700C  Rigida ORION/MENSA (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);610.7;0
700C  Rigida PHOENIX (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);604.8;0
700C  Rigida Score ;612;0
700C  Rigida SHC (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);603;0
700C  Rigida SHP (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);603;0
700C  Rigida SIRIUS (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);610.7;0
700C  Rigida TUB 25/ TUB 26 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);604.3;0
700C  Rigida VELA (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);603;0
700C  Rigida X PLORER (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);592.4;0
700C  Rigida ZAC 2000 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);599.84;0
700C  Rigida/Weinmann ZAC 19 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);607;0
700C  Rinard/Hollenbeck carbon clincher proto #1;587;0
700C  Ritchey Aero Road Comp centered holes (ERD is nipple contact dia + 3mm for nipples);602;0
700C  Ritchey Aero Road Comp OCR (ERD is nipple contact dia + 3mm for nipples);602;2.5
