Name;dL;WL;dR;WR
Hugi 240;36;34.95;36;34.95
Hugi Formula Disc;52.5;16.95;46;35.1
Hugi Hayes Disc;58;23.7;46;35.1
Hugi Magura Disc Gustav M;60;23.65;61;34.85
Hugi Magura Disc Gustav M downhill;60;26.6;61;29.7
Hugi Magura Disc Louise;58;23.9;47;35.6
Hugi road ;45;39.5;45;18
Hugi road ;45;37.5;45;20
Hugi tandem;55;37;55;22
Hugi tandem ;41;35;41;35
Hugi tandem ;55;33.5;55;24
Hugi tandem large flange;60;34.5;60;34.5
Hugi TD (tandem) 2001;60;34.5;60;34.5
Hugi TD (tandem) 2001;60;31.25;60;21.45
Hugi TD (tandem) 2001;60;28.75;60;23.95
Hugi TD disc brake (tandem) 2001;60;21.6;61;34.5
Hugi/Union Std.;39;33;39;33
Hugi/Union/Marwi Susp.;41;35;41;35
Inferno disc;5538;21;55.8;33
Inferno disc;55.8;35;55.8;21
Intense 20mm disc;60;24;60;31
IRO High-flange track hub;62;34.5;62;34.5
IRO High-flange track hub;62;31;62;31
IRO Single Speed hub;40;36;40;36
IRO Single Speed hub;53;39;53;39
IRO Single Speed disc brake hub;58;38;58;34
Joytech sealed med flange;44;28.5;44;28.5
Kingsbery low flange ;42.5;34.5;42.5;34.5
Kingsbery low flange 135mm;42.5;34.5;42.5;23.5
Kogswell double fixed mtb/singlespeed rear;52;38.5;52;38.5
Kogswell front;40;36.1;40;36.1
M bits;58.5;30;51;37.25
Machine Tech Hollowcore ;43;33;43;33
Machine Tech Power Claw ;43;34;43;20.5
Magura 1999 Louise disc;62.5;30.4;62.5;20.8
Magura Comp 2000;58;23;48;34.7
Magura Comp 2000;58;33.25;47;20
Magura Comp 2000 DH;58;22.8;58;31.5
Magura Fun;58;23;52;34.7
Magura Fun;58;33.25;52;20
Magura Gustav M 2000;58;23.1;46;34.4
Magura Gustav M 2000;58;33.25;46;19.75
Magura Gustav M 2000 DH;58;22.8;58;31.5
Magura Gustav M 99;60;23.65;61;34.85
Magura Gustav M 99;60;36.3;61;18.95
Magura Gustav M 99 DH;60;26.6;61;29.7
Magura Pro 2000;58;22;46;34.8
Magura Pro 2000;58;33.5;46;19.2
Magura/SRAM louise 99;62;31;62;20
Magura/SRAM Louise 99 disc;62;20;62;30
Maillard Professional High Flange;67.5;35.9;67.5;20.9
Maillard Professional High Flange;67.5;33;67.5;33
Manitou through axle, non-disc;40;40;40;40
Marzocchi QR 20;56;36;56;36
Marzocchi QR 20 disc;58;22;58;31
Marzocchi QR 20+ disc;61;19;61;33
Maverick American hub;58;29.4;50;36.5
Mavic 500, 501, 520, 530, 531, 550, 571, 577;40;27;40;27
Mavic 501 ;44.5;30;44.5;18
Mavic 501 ;44.5;31.5;44.5;16.5
Mavic 506 ;44.5;37;44.5;19
Mavic 520 track low flange;44.5;42.5;44.5;30.5
Mavic 531 MTB ;44.5;29.5;44.5;18.5
Mavic 531 MTB ;44.5;27;44.5;21
Mavic 550;45;37.7;45;19.2
Mavic 570;45;36;45;26
Mavic 571 road ;53;32;53;16.5
Mavic 571, 572 ;53;35;53;19
Mavic 577 MTB ;53;31.5;53;17
Mavic Cosmic Carbone 2001 blk. STRAIGHT SPOKES;27;36;27;36
Mavic MR601;40;34;40;34
Mavic MR601;46;34;48;17.4
Mavic special small TT hub;34;28;34;28
Maxx;32;35;32;35
Miche track;59;45;59;30
Nashbar Fixed-Fixed Flip-Flop front hub NF-GHF;62;34;62;34
